Year,Forest.cutting exogenous
1750,0.1427570162340998
1751,0.1437517702579498
1752,0.1449198266491294
1753,0.14628222794272
1754,0.1476861324626952
1755,0.148691393667832
1756,0.1497182985767722
1757,0.1523807668127119
1758,0.1523938577156514
1759,0.1534413415938615
1760,0.1500686327926814
1761,0.1509520369581878
1762,0.1528460173867643
1763,0.1544848948251456
1764,0.1559087103232741
1765,0.1571090414654463
1766,0.1585552582982927
1767,0.160269076237455
1768,0.1614947819616645
1769,0.1632464348804205
1770,0.1484455671161413
1771,0.149713376071304
1772,0.1504444442689418
1773,0.1514671025797724
1774,0.1527968437876552
1775,0.1535563587676733
1776,0.1552119560074061
1777,0.1562935621477663
1778,0.1577231066767126
1779,0.1595157193951308
1780,0.1864244963508099
1781,0.1881855756510049
1782,0.1906519227195531
1783,0.1928245145827531
1784,0.1950411878060549
1785,0.196933364495635
1786,0.1992333773523569
1787,0.2015680540353059
1788,0.2045135172083974
1789,0.2066488950513303
1790,0.2363520490471273
1791,0.2379115272779017
1792,0.2399254699703306
1793,0.2415515352040529
1794,0.244122864678502
1795,0.2467532178852707
1796,0.248559903120622
1797,0.2508696704171598
1798,0.2532446717377752
1799,0.2556864370126277
1800,0.2006694988813251
1801,0.2001135512255132
1802,0.1995749059133231
1803,0.199029985582456
1804,0.1984865157864987
1805,0.1979769794270396
1806,0.1980603809934109
1807,0.1976277749054134
1808,0.1981742749921977
1809,0.197454470442608
1810,0.2346557579003274
1811,0.2352876022923737
1812,0.2358914141077548
1813,0.2364557196851819
1814,0.2369880669284612
1815,0.2374935287516564
1816,0.2379607283510267
1817,0.2383941793814301
1818,0.2387940143235027
1819,0.2391675319522619
1820,0.2246930296532809
1821,0.2261499520391225
1822,0.2271013206336647
1823,0.2280147776473313
1824,0.2288680667988956
1825,0.2297124108299613
1826,0.2305085847619921
1827,0.2312623790930956
1828,0.2319753186311572
1829,0.2326553596649319
1830,0.2414468775968998
1831,0.2418894753791391
1832,0.2424011358525604
1833,0.2428188901394605
1834,0.2431887520942837
1835,0.2435153336264193
1836,0.2437909720465541
1837,0.2436886737123131
1838,0.2441927948966622
1839,0.2443257176782935
1840,0.251282115932554
1841,0.2507432757411152
1842,0.2501784882042557
1843,0.2495935449842363
1844,0.2489872083533555
1845,0.2483541667461395
1846,0.2477013759780675
1847,0.2470267175231129
1848,0.2463280893862247
1849,0.2455835649743676
1850,0.2585008081514388
1851,0.2595791812054813
1852,0.2606950101908296
1853,0.2618436126504093
1854,0.2630331150721758
1855,0.2642574706114828
1856,0.2655210965313017
1857,0.2668275097385049
1858,0.2681716866791248
1859,0.269561048829928
1860,0.2833185740746557
1861,0.2842944792937487
1862,0.2852985151112079
1863,0.2863593860529363
1864,0.2874754769727587
1865,0.2886266377754509
1866,0.2898105804342776
1867,0.2910259729251265
1868,0.292280656285584
1869,0.2935690791346133
1870,0.2795516899786889
1871,0.2830338904168457
1872,0.2866058878134936
1873,0.2902139527723193
1874,0.2938537527807057
1875,0.2975273146294057
1876,0.3012385064503178
1877,0.3049826860660687
1878,0.308765702531673
1879,0.3125827595358714
1880,0.3100824619177729
1881,0.3145494166528806
1882,0.3190698949620127
1883,0.3236459692707285
1884,0.3282788102515042
1885,0.3329697095323354
1886,0.3377963629318401
1887,0.3427095483057201
1888,0.3476769876433536
1889,0.3526940366718918
1890,0.3567934792954474
1891,0.3624427989125252
1892,0.3681387767428532
1893,0.3738848163047805
1894,0.3796857240376994
1895,0.3855351697420701
1896,0.3914369215490296
1897,0.397393126389943
1898,0.4034008147427812
1899,0.4094641391420737
1900,0.420933079207316
1901,0.4287758788559586
1902,0.4366291573969647
1903,0.4445014476077631
1904,0.4523811078397557
1905,0.4602774161612615
1906,0.4681891094660386
1907,0.4761103540658951
1908,0.4840527737978846
1909,0.492003045626916
1910,0.5146502365823835
1911,0.5193783631548285
1912,0.5240786981303245
1913,0.5287451888434589
1914,0.533378756721504
1915,0.5379789469880052
1916,0.5425396203645505
1917,0.5470728270593099
1918,0.5515681074466556
1919,0.5560034617665224
1920,0.557928859081585
1921,0.5648952228948474
1922,0.5717904812190682
1923,0.5785965826362371
1924,0.5853541896212846
1925,0.5920475920429453
1926,0.5986640909686685
1927,0.6052132000913844
1928,0.611673183273524
1929,0.6180809671059251
1930,0.6244216760387644
1931,0.6299760004039854
1932,0.6355301339644939
1933,0.6411232780665159
1934,0.6467378989327699
1935,0.6523625268600881
1936,0.657997842412442
1937,0.6636701414827257
1938,0.6693590043578297
1939,0.675049793208018
1940,0.6807773306500167
1941,0.688691112678498
1942,0.696510303998366
1943,0.7042291958350688
1944,0.7118600127287209
1945,0.7193986303173006
1946,0.7268416150473058
1947,0.7341894451528788
1948,0.7414388470351696
1949,0.7485982161015272
1950,0.7556636654771864
1951,0.7697276072576642
1952,0.7837783796712756
1953,0.797820988111198
1954,0.8118712492287159
1955,0.8259092159569263
1956,0.8399429814890027
1957,0.8539757411926985
1958,0.8679960444569588
1959,0.882012628018856
1960,0.8960276208817959
1961,0.932990717701614
1962,0.93633577786386
1963,0.9457523543387653
1964,0.9699979154393076
1965,0.978234713897109
1966,0.9908748790621758
1967,1.001782001927495
1968,1.010187679901719
1969,1.017709843814373
1970,1.0365865398198366
1971,1.046273885294795
1972,1.0504356864839792
1973,1.0739686638116837
1974,1.0783304199576378
1975,1.0617643650621176
1976,1.0958070941269398
1977,1.1024527195841074
1978,1.1221237368881702
1979,1.1448153909295795
1980,1.1507090125232935
1981,1.1482136845588684
1982,1.1511833555996418
1983,1.1794474255293608
1984,1.208672447130084
1985,1.2098634224385023
1986,1.23631096445024
1987,1.2540748957544563
1988,1.2685788944363594
1989,1.2830023095011711
1990,1.2974176071584225
1991,1.2708942871540785
1992,1.247722426429391
1993,1.2303026858717203
1994,1.2277197558432815
1995,1.24263147264719
1996,1.231397645547986
1997,1.2521698120981457
1998,1.2447237223386765
1999,1.264664774760604
2000,1.2891441565006971
2001,1.2601713463664057
2002,1.2825263552367687
2003,1.3046509642153978
2004,1.3189930003136396
2005,1.329185513779521
2006,1.318015355616808
2007,1.333290345966816
2008,1.2977889757603407
2009,1.2635431867092848
2010,1.3212274312973022
2011,1.342646237462759
2012,1.3556253910064695
2013,1.3627451695501804
2014,1.378058135509491
2015,1.3780581131577492
2016,1.3912797681987286
2017,1.4045014083385468
2018,1.4177229180932045
2019,1.4309447668492794
2020,1.444166325032711
2021,1.4568663127720356
2022,1.4695663340389729
2023,1.4822664856910706
2024,1.494966343045235
2025,1.507666498422623
2026,1.5196727216243744
2027,1.5316789522767067
2028,1.543685033917427
2029,1.5556911677122116
2030,1.5676975324749949
2031,1.5789569541811943
2032,1.5902162939310074
2033,1.6014758124947548
2034,1.6127352118492126
2035,1.6239946819841862
2036,1.6344706006348133
2037,1.6449464038014412
2038,1.6554222702980042
2039,1.6658980883657932
2040,1.6763739362359047
2041,1.686057161539793
2042,1.6957406420260668
2043,1.7054239735007286
2044,1.715107478201389
2045,1.724790768697858
2046,1.7335583306849005
2047,1.742325672879815
2048,1.7510930243879557
2049,1.759860696271062
2050,1.7686280235648155
2051,1.7762386091053486
2052,1.7838488761335611
2053,1.7914592046290636
2054,1.7990696635097263
2055,1.806680100038648
2056,1.813119027763605
2057,1.819558184593916
2058,1.8259970005601645
2059,1.8324359022080896
2060,1.8388750487938523
2061,1.8441596115008
2062,1.849443926475942
2063,1.85472855810076
2064,1.860012943856418
2065,1.865297523327172
2066,1.8695639437064528
2067,1.873830495402217
2068,1.869054920040071
2069,1.8582640821114185
2070,1.8611194686964156
2071,1.8631041087210176
2072,1.8651274694129825
2073,1.8671312518417835
2074,1.869111193343997
2075,1.871143689379096
2076,1.8723148806020615
2077,1.8734692269936204
2078,1.874683767557144
2079,1.8758508684113624
2080,1.8770244112238288
2081,1.8774692239239807
2082,1.8779111010953784
2083,1.878312938846648
2084,1.8786998898722231
2085,1.8790923794731496
2086,1.878776928409934
2087,1.878445432055741
2088,1.8780870754271743
2089,1.8777733501046896
2090,1.87735595414415
2091,1.8764172145165503
2092,1.8754531079903245
2093,1.8745164587162435
2094,1.8735657397191967
2095,1.8725129663944244
2096,1.8708157485816628
2097,1.8690910281147808
2098,1.867464527953416
2099,1.8658022547606377
